Date,Lumber,Intermodal,Standard_Indicator_1,Standard_Indicator_2,Standard_Indicator_3,Standard_Indicator_4,Standard_Indicator_5,Standard_Indicator_6,Fancy_Indicator_1,Fancy_Indicator_2,Fancy_Indicator_3,Fancy_Indicator_4,Fancy_Indicator_5,Fancy_Indicator_6,Lumber_Forecast,Standard_Attribution_Indicator_1,Standard_Attribution_Indicator_2,Standard_Attribution_Indicator_3,Standard_Attribution_Indicator_4,Standard_Attribution_Indicator_5,Standard_Attribution_Indicator_6,Intermodal_Forecast,Fancy_Attribution_Indicator_1,Fancy_Attribution_Indicator_2,Fancy_Attribution_Indicator_3,Fancy_Attribution_Indicator_4,Fancy_Attribution_Indicator_5,Fancy_Attribution_Indicator_6
2019-01-31,2.484,52.484,0.301,2.824,2.503,-2.378,,,42.921,25.986,3.343,2.271,,,,,,,,,,,,,,,,
2019-02-28,4.732,57.36,2.756,5.547,-2.92,7.156,1.363,,45.418,31.769,-4.01,4.734,51.39,,,,,,,,,,,,,,,
2019-03-31,12.746,67.331,5.603,17.839,-3.267,14.505,6.227,6.437,46.384,39.113,3.136,15.599,57.294,56.362,,,,,,,,,,,,,,
2019-04-30,18.886,74.268,9.632,16.639,3.455,17.597,13.967,12.925,54.902,47.541,7.292,19.067,66.244,67.806,,,,,,,,,,,,,,
2019-05-31,9.184,64.023,8.867,14.426,1.14,9.389,18.845,14.986,46.752,39.159,-7.853,14.231,72.842,68.882,,,,,,,,,,,,,,
2019-06-30,5.948,59.084,8.232,12.355,5.398,6.496,9.419,10.537,45.464,31.697,-0.645,13.13,64.236,65.423,,,,,,,,,,,,,,
2019-07-31,10.438,61.201,7.091,3.238,4.944,-1.425,8.503,8.972,39.946,29.307,5.359,-2.321,58.574,61.473,,,,,,,,,,,,,,
2019-08-31,1.803,50.193,4.273,-5.231,3.268,-9.46,9.255,6.088,37.193,17.933,2.747,-11.234,64.209,57.521,,,,,,,,,,,,,,
2019-09-30,-7.618,39.069,-4.248,-12.27,0.681,-7.694,2.897,1.737,30.524,14.249,5.552,-18.327,44.891,49.075,,,,,,,,,,,,,,
2019-10-31,-3.474,42.67,-4.367,-12.744,-1.483,-13.785,-8.022,-4.642,24.593,13.098,2.16,-10.512,41.252,42.421,,,,,,,,,,,,,,
2019-11-30,-6.74,40.201,-3.634,-15.132,3.299,-16.773,-3.909,-5.895,24.591,11.424,5.431,-11.027,45.163,41.039,,,,,,,,,,,,,,
2019-12-31,-2.668,46.231,2.747,-6.197,9.019,-4.746,-4.543,-3.298,26.244,21.075,4.971,-7.667,36.054,41.077,,,,,,,,,,,,,,
2020-01-31,6.295,57.82,4.299,1.023,6.958,6.366,-1.017,1.865,39.666,29.065,10.773,0.84,45.545,48.9,,,,,,,,,,,,,,
2020-02-29,0.942,55.095,5.353,6.418,1.627,10.597,7.922,3.442,40.719,30.825,7.628,4.124,57.077,49.643,,,,,,,,,,,,,,
2020-03-31,5.968,62.078,-3.682,9.805,7.811,8.432,3.553,8.708,47.961,42.745,8.469,20.328,52.28,60.389,,,,,,,,,,,,,,
